Query,vec type,url
Action-Adventure Games,TFIDFVector,/videogame/one-piece-grand-adventure.html
Action-Adventure Games,TFIDFVector,/videogame/family-guy.html
Action-Adventure Games,TFIDFVector,/videogame/grand-theft-auto-san-andreas.html
Action-Adventure Games,TFIDFVector,/videogame/onimusha-3-demon-siege.html
Action-Adventure Games,TFIDFVector,/videogame/grand-theft-auto-san-andreas-special-edition.html
Action-Adventure Games,TFIDFVector,/videogame/true-crime-streets-of-la.html
Action-Adventure Games,TFIDFVector,/videogame/the-getaway-part-2.html
Action-Adventure Games,TFIDFVector,/videogame/lego-indiana-jones-the-videogame.html
Action-Adventure Games,TFIDFVector,/videogame/obscure-ii.html
Action-Adventure Games,TFIDFVector,/videogame/spider-man-3.html
RPG Games for PlayStation,TFIDFVector,/videogame/wild-arms-another-code-f.html
RPG Games for PlayStation,TFIDFVector,/videogame/namco-x-capcom.html
RPG Games for PlayStation,TFIDFVector,/videogame/final-fantasy-x.html
RPG Games for PlayStation,TFIDFVector,/videogame/level-5-new-rpg-untitled.html
RPG Games for PlayStation,TFIDFVector,/videogame/dragon-warrior-viii.html
RPG Games for PlayStation,TFIDFVector,/videogame/phantasy-star-universe.html
RPG Games for PlayStation,TFIDFVector,/videogame/shadow-hearts.html
RPG Games for PlayStation,TFIDFVector,/videogame/radiata-stories.html
RPG Games for PlayStation,TFIDFVector,/videogame/kingdom-hearts-ii.html
RPG Games for PlayStation,TFIDFVector,/videogame/untitled-marvel-comics-rpg.html
The Guy Game,TFIDFVector,/videogame/family-guy.html
The Guy Game,TFIDFVector,/videogame/the-guy-game.html
The Guy Game,TFIDFVector,/videogame/final-fight-streetwise.html
The Guy Game,TFIDFVector,/videogame/dragon-ball-z-sparking.html
star-wars-battlefront,TFIDFVector,/videogame/star-wars-battlefront.html
star-wars-battlefront,TFIDFVector,/videogame/lego-star-wars.html
star-wars-battlefront,TFIDFVector,/videogame/star-wars-episode-iii.html
star-wars-battlefront,TFIDFVector,/videogame/lego-star-wars-the-original-trilogy.html
star-wars-battlefront,TFIDFVector,/videogame/chaos-wars.html
star-wars-battlefront,TFIDFVector,/videogame/phantasy-star-universe.html
star-wars-battlefront,TFIDFVector,/videogame/phantasy-star-universe-ambition-of-illuminus.html
star-wars-battlefront,TFIDFVector,/videogame/god-of-war-2-divine-retribution.html
star-wars-battlefront,TFIDFVector,/videogame/ace-combat-zero-the-belkan-war.html
star-wars-battlefront,TFIDFVector,/videogame/god-of-war.html
Iron Man,TFIDFVector,/videogame/iron-man-2008.html
Iron Man,TFIDFVector,/videogame/mega-man-x-collection.html
Iron Man,TFIDFVector,/videogame/spider-man-trilogy.html
Iron Man,TFIDFVector,/videogame/spider-man-3.html
Iron Man,TFIDFVector,/videogame/pac-man-world-rally.html
Iron Man,TFIDFVector,/videogame/shadow-man-2econd-coming.html
Iron Man,TFIDFVector,/videogame/mega-man-x8.html
Iron Man,TFIDFVector,/videogame/guitar-hero.html
Iron Man,TFIDFVector,/videogame/dead-to-rights.html
Iron Man,TFIDFVector,/videogame/tekken-4.html
James Earl Cash,TFIDFVector,/videogame/manhunt.html
James Earl Cash,TFIDFVector,/videogame/james-bond-007-nightfire.html
James Earl Cash,TFIDFVector,/videogame/james-bond-007-goldeneye-2.html
James Earl Cash,TFIDFVector,/videogame/mercenaries.html
James Earl Cash,TFIDFVector,/videogame/crazy-taxi.html
James Earl Cash,TFIDFVector,/videogame/hitman-blood-money.html
Crazy Taxi,TFIDFVector,/videogame/crazy-taxi.html
Crazy Taxi,TFIDFVector,/videogame/crazy-frog-racer.html
Crazy Taxi,TFIDFVector,/videogame/b-boy.html
Crazy Taxi,TFIDFVector,/videogame/karaoke-revolution-party.html
Crazy Taxi,TFIDFVector,/videogame/ape-escape-3.html
James Bond,TFIDFVector,/videogame/james-bond-007-nightfire.html
James Bond,TFIDFVector,/videogame/james-bond-007-goldeneye-2.html
James Bond,TFIDFVector,/videogame/manhunt.html
The Lord of the Rings: The Two Towers (PS2),TFIDFVector,/videogame/the-lord-of-the-rings-the-two-towers.html
The Lord of the Rings: The Two Towers (PS2),TFIDFVector,/videogame/ea-sports-fight-night-round-3.html
The Lord of the Rings: The Two Towers (PS2),TFIDFVector,/videogame/ar-tonelico.html
The Lord of the Rings: The Two Towers (PS2),TFIDFVector,/videogame/ea-sports-fight-night-2004.html
The Lord of the Rings: The Two Towers (PS2),TFIDFVector,/videogame/phantom-kingdom.html
